"MethodName","InternalCallCount","InternalFiles"
"BuildCommercialAuditActionResult","6","DBConnection.CAU.cs"
"AddNullableDateParameter","2","DBConnection.CAU.cs"
"SafeReadNullableDate","2","DBConnection.CAU.cs"
"ResolveCauKey","2","DBConnection.cs"
"DecryptPassword","1","DBConnection.cs"
"KillSessions","1","DBConnection.cs"
"ResetLoginAttemptsForPpNumber","4","DBConnection.cs"
"GetRemoteIpAddress","1","DBConnection.cs"
"HashEncryptedPassword","5","DBConnection.cs"
"DisposeLoginSession","1","DBConnection.cs"
"RequiresPasswordChange","1","DBConnection.cs"
"CreateAuditReport","1","DBConnection.cs"
"GetMimeType","4","DBConnection.cs"
"GetTopMenuPages","1","DBConnection.cs"
"AppendFrptPdfEngagementMenu","1","DBConnection.cs"
"GetTopMenus","1","DBConnection.cs"
"ReadFirstAvailableString","5","DBConnection.cs"
"Shuffle","1","DBConnection.cs"
"DeleteImage","1","DBConnection.cs"
"GetManagedObservations","2","DBConnection.cs"
"GetObservationText","1","DBConnection.cs"
"GetManagedObservationsForBranches","5","DBConnection.cs; DBConnection.Notification.cs"
"AddInitialResponsibilityAssignment","1","DBConnection.cs"
"UpdateResponsibilityAssignment","1","DBConnection.cs"
"GetParaText","1","DBConnection.FAD.cs"
"GetParaReferenceLinks","2","DBConnection.FAD.cs"
"GetAuditChecklistAnnexureCirculars","3","DBConnection.FAD.cs"
"DeleteReference","1","DBConnection.FAD.cs"
"AddReference","1","DBConnection.FAD.cs"
"UpdateParaReference","1","DBConnection.FAD.cs"
"GetLegacyParaResponsiblePersonsFAD","1","DBConnection.FAD.cs"
"EnsureConnectionOpen","35","DBConnection.FRPT.cs; DBConnection.MANRPT.cs"
"GetFieldAuditEntityId","1","DBConnection.FRPT.cs"
"LoadColumnMap","3","DBConnection.FRPT.cs"
"GetOptionalString","19","DBConnection.FRPT.cs; DBConnection.FRPT.Pdf.cs"
"GetOptionalInt","3","DBConnection.FRPT.cs"
"GetOptionalDecimal","1","DBConnection.FRPT.cs"
"GetTeamDetails","1","DBConnection.FRPT.cs"
"GetFieldAuditNarrativeSections","2","DBConnection.FRPT.cs"
