"ProcedureCall","PackageName","ProcedureName","ObjectRefs","ReadObjects","WriteObjects"
"PKG_HD.P_GETAUDITENTITIES","PKG_HD","P_GETAUDITENTITIES","T_CURSOR; T_AUDITEE_ENTITIES","T_AUDITEE_ENTITIES",""
"PKG_HD.P_GETAUDITYEAR","PKG_HD","P_GETAUDITYEAR","T_CURSOR; T_AU_OLD_AUDIT_PERIOD","T_AU_OLD_AUDIT_PERIOD",""
"PKG_HD.P_GETAUDITNATURE","PKG_HD","P_GETAUDITNATURE","T_CURSOR; T_AU_OLD_AUDIT_NATURE","T_AU_OLD_AUDIT_NATURE",""
"PKG_HD.P_ADD_LEGACY_PARA","PKG_HD","P_ADD_LEGACY_PARA","T_CURSOR; T_AU_OBSERVATION_OLD_CAD_PARAS; T_AU_OLD_PARAS_FAD; T_AU_ERROR_LOGS","T_AU_OBSERVATION_OLD_CAD_PARAS; DUAL; T_AU_OLD_PARAS_FAD; T_AU_ERROR_LOGS","T_AU_OBSERVATION_OLD_CAD_PARAS; T_AU_OLD_PARAS_FAD; T_AU_ERROR_LOGS"
"PKG_HD.P_GET_LEGACY_PARA_TO_AUTHORIZE","PKG_HD","P_GET_LEGACY_PARA_TO_AUTHORIZE","T_CURSOR; T_AU_OBSERVATION_OLD_CAD_PARAS; T_AUDITEE_ENTITIES; T_AU_OLD_PARAS_FAD; T_AU_OLD_AUDIT_NATURE; T_AU_OLD_AUDIT_PERIOD","T_AU_OBSERVATION_OLD_CAD_PARAS; T_AUDITEE_ENTITIES; T_AU_OLD_PARAS_FAD; T_AU_OLD_AUDIT_NATURE; T_AU_OLD_AUDIT_PERIOD",""
"PKG_HD.P_AUTHORIZE_LEGACY_PARA_ADDITION","PKG_HD","P_AUTHORIZE_LEGACY_PARA_ADDITION","T_CURSOR; T_AU_OBSERVATION_OLD_CAD_PARAS; T_AU_OLD_PARAS_FAD; T_AU_ERROR_LOGS","DUAL; T_AU_ERROR_LOGS","T_AU_OBSERVATION_OLD_CAD_PARAS; T_AU_OLD_PARAS_FAD; T_AU_ERROR_LOGS"
"PKG_HD.P_REFEREDBACK_DEL_PARA","PKG_HD","P_REFEREDBACK_DEL_PARA","T_CURSOR; T_AU_OBSERVATION_OLD_CAD_PARAS; T_AU_OLD_PARAS_FAD; T_AU_ERROR_LOGS","T_AU_OBSERVATION_OLD_CAD_PARAS; T_AU_OLD_PARAS_FAD; DUAL; T_AU_ERROR_LOGS","T_AU_OBSERVATION_OLD_CAD_PARAS; T_AU_OLD_PARAS_FAD; T_AU_ERROR_LOGS"
"PKG_HD.P_GETSETTLEDPARASFORREVIEW","PKG_HD","P_GETSETTLEDPARASFORREVIEW","T_CURSOR; T_AU_AUDIT_TEAM_TASKLIST; T_AUDITEE_ENTITIES; V_GET_AIS_POST_COMPLIANCE_HO","DUAL; T_AU_AUDIT_TEAM_TASKLIST; T_AUDITEE_ENTITIES; V_GET_AIS_POST_COMPLIANCE_HO",""
"PKG_HD.P_ADD_DUPLICATE_PARAS","PKG_HD","P_ADD_DUPLICATE_PARAS","T_CURSOR; T_AU_OBSERVATION_FAD; T_AUDITEE_ENTITIES; T_AU_DUPLICATE_PARAS","T_AU_OBSERVATION_FAD; T_AUDITEE_ENTITIES; DUAL; T_AU_DUPLICATE_PARAS","T_AU_DUPLICATE_PARAS"
"PKG_HD.P_GET_DUPLICATE_PARAS_ENT_FOR_AUTH","PKG_HD","P_GET_DUPLICATE_PARAS_ENT_FOR_AUTH","T_CURSOR; T_AUDITEE_ENTITIES; T_AU_DUPLICATE_PARAS","DUAL; T_AUDITEE_ENTITIES; T_AU_DUPLICATE_PARAS",""
