"ProcedureCall","PackageName","Status","Methods","Modules","ReadObjects","WriteObjects","ObjectRefs","MappingFound"
"PKG_AD.P_UPDATEENTITIEES","PKG_AD","Confirmed Active","UpdateAISEntityForAdminPanelEntityAddition","AD","T_AUDITEE_ENTITIES_MAPING; T_AUDITEE_ENTITIES_UPDATE_LOG; DUAL","T_AUDITEE_ENTITIES; T_AUDITEE_ENTITIES_MAPING; AIS_T_AU_POST_COMPLIANCE; T_AU_PLAN_ENG; T_AUDITEE_ENTITIES_UPDATE_LOG","T_CURSOR; T_AUDITEE_ENTITIES; T_AUDITEE_ENTITIES_MAPING; AIS_T_AU_POST_COMPLIANCE; T_AU_PLAN_ENG; T_AUDITEE_ENTITIES_UPDATE_LOG","True"
"PKG_AD.P_INSERTENTITIEES","PKG_AD","Confirmed Active","AddAISEntityForAdminPanelEntityAddition","AD","T_AUDITEE_ENTITIES; DUAL","T_AUDITEE_ENTITIES","T_CURSOR; T_AUDITEE_ENTITIES","True"
"PKG_AD.P_GET_AUDITEE_ENTITIES_MAPPING","PKG_AD","Confirmed Active","GetAISEntityMappingForAdminPanelEntityAddition","AD","V_GET_PARENT_OFFICE","","T_ID; T_CURSOR; V_GET_PARENT_OFFICE","True"
"PKG_AD.P_UPDATE_ENTITIES_MAPPING","PKG_AD","Confirmed Active","UpdateAISEntityMappingForAdminPanelEntityAddition","AD","T_AUDITEE_ENTITIES; DUAL","T_AUDITEE_ENTITIES_MAPING","T_CURSOR; T_F; T_AUDITEE_ENTITIES; T_AUDITEE_ENTITIES_MAPING","True"
"PKG_AD.P_ADD_ENTITIES_MAPPING","PKG_AD","Confirmed Active","AddAISEntityMappingForAdminPanelEntityAddition","AD","T_AUDITEE_ENTITIES; T_AUDITEE_ENTITIES_MAPING; DUAL","T_AUDITEE_ENTITIES_MAPING","T_CURSOR; V_F; T_F; T_AUDITEE_ENTITIES; T_AUDITEE_ENTITIES_MAPING","True"
"PKG_AD.P_UPDATE_NEW_USER","PKG_AD","Confirmed Active","UpdateNewUsersAdminPanel","AD","T_USER; V_AIS_NEW_USER_FOR_ADDITION; T_USER_MAPING; T_GROUP_RIGHTS; DUAL","T_USER; T_USER_MAPING","T_CURSOR; T_USER; V_AIS_NEW_USER_FOR_ADDITION; T_USER_MAPING; T_GROUP_RIGHTS","True"
"PKG_AD.P_GET_USER_ROLE_TYPE","PKG_AD","Confirmed Active","GetUserDetailAdminPanel","AD","T_GROUP_RIGHTS; T_GROUPS","","T_CURSOR; T_GROUP_RIGHTS; T_GROUPS","True"
"PKG_AD.P_GET_DETAILS_FOR_ENTITY_SHIFTING","PKG_AD","Confirmed Active","GetEntityShiftingDetails","AD","T_AUDITEE_ENTITIES; T_AU_PLAN_ENG; T_AU_OBSERVATION_FAD; T_AUDITEE_ENTITIES_SIZE; T_AUDITEE_ENTITIES_SIZE_DISC; T_AUDITEE_ENTITIES_RISK; T_RISK; T_AU_POST_COMPLIANCE_SETTLEMETMENT_HISTORY","","T_CURSOR; T_AUDITEE_ENTITIES; T_AU_PLAN_ENG; T_AU_OBSERVATION_FAD; T_AUDITEE_ENTITIES_SIZE; T_AUDITEE_ENTITIES_SIZE_DISC; T_AUDITEE_ENTITIES_RISK; T_RISK; T_AU_POST_COMPLIANCE_SETTLEMETMENT_HISTORY","True"
"PKG_AD.P_GET_ENTITIES_TYPES","PKG_AD","Confirmed Active","GetEntityTypes","AD","T_AUDITEE_ENT_TYPES","","T_CURSOR; T_AUDITEE_ENT_TYPES","True"
"PKG_AD.P_UPDATE_ENTITIES_TYPES","PKG_AD","Confirmed Active","UpdateEntityTypes","AD","DUAL","T_AUDITEE_ENT_TYPES","T_CURSOR; T_AUDITEE_ENT_TYPES","True"
