"ProcedureCall","PackageName","Status","Methods","Modules","ReadObjects","WriteObjects","ObjectRefs","MappingFound"
"PKG_LG.P_GETRISKPROCESSDEFINITION","PKG_LG","Confirmed Active","GetRiskProcessDefinition","cs","T_AUDIT_CHECKLIST","","T_CURSOR; T_AUDIT_CHECKLIST; T_ID","True"
"PKG_PG.P_GETAUDITFREQUENCIES","PKG_PG","Confirmed Active","GetAuditFrequencies","cs","T_AUDIT_FREQUENCY","","T_CURSOR; T_AUDIT_FREQUENCY","True"
"PKG_AI.P_GETGLHEADSUMMARY","PKG_AI","Likely Active","GetGlheadDetails","cs","","","","False"
"PKG_AI.P_GETGLHEADSUM","PKG_AI","Confirmed Active","GetGlheadSubDetails","cs","","","","False"
"PKG_AI.P_GETLOANCASEDETAILS","PKG_AI","Confirmed Active","GetLoanCaseDetails","cs","","","","False"
"PKG_AIS.P_GETLOANCASEDOCUMENTS","PKG_AIS","Confirmed Active","GetLoanCaseDocuments","cs","","","","False"
"PKG_AI.P_GETINCOMEEXPENCEDETAILS","PKG_AI","Confirmed Active","GetIncomeExpenceDetails","cs","","","","False"
"PKG_AIS.P_GETDEPOSITACCOUNTDETAILS","PKG_AIS","Low-Confidence / Needs Verification","GetDepositAccountdetails","cs","","","","False"
"PKG_AI.P_GETDEPOSITACCOUNTSUBDETAILS","PKG_AI","Confirmed Active","GetDepositAccountSubdetails","cs","","","","False"
"PKG_AI.P_GETBRANCHDESBURSEMENTACCOUNTDETAILS","PKG_AI","Confirmed Active","GetBranchDesbursementAccountdetails","cs","","","","False"
"PKG_LG.P_GETLOGGEDINUSERENGID","PKG_LG","Likely Active","GetLoggedInUserEngId","cs","T_AU_AUDIT_JOINING","","T_CURSOR; T_AU_AUDIT_JOINING","True"
"PKG_AIS.P_GETRISKDESCBYID","PKG_AIS","Likely Active","GetRiskDescByID","cs","T_RISK","","T_CURSOR; T_RISK","True"
"PKG_PG.P_GETLATESTCOMMENTSONENGAGEMENT","PKG_PG","Likely Active","GetLatestCommentsOnEngagement","cs","T_AU_PLAN_ENG_LOG","","T_CURSOR; T_AU_PLAN_ENG_LOG","True"
"PKG_PG.P_GET_CRITERIA_ENT_COUNT","PKG_PG","Confirmed Active","GetExpectedCountOfAuditEntitiesOnCriteria","cs","T_AUDIT_CRITERIA; T_AU_PERIOD; T_AUDITEE_ENTITIES; T_AUDIT_FREQUENCY","T_AUDIT_CRITERIA","T_CURSOR; T_AUDIT_CRITERIA; T_AU_PERIOD; T_AUDITEE_ENTITIES; T_AUDIT_FREQUENCY","True"
"PKG_PG.P_DELETEPENDINGCRITERIA","PKG_PG","Confirmed Active","DeletePendingCriteria","cs","T_AU_ACTIVITY_LOG; T_AUDIT_CRITERIA; T_AUDIT_CRITERIA_LOG","T_AU_ACTIVITY_LOG; T_AUDIT_CRITERIA; T_AUDIT_CRITERIA_LOG","V_F; T_AU_ACTIVITY_LOG; T_AUDIT_CRITERIA; T_AUDIT_CRITERIA_LOG","True"
"PKG_PG.P_SUBMITAUDITCRITERIAFORAPPROVAL","PKG_PG","Confirmed Active","SubmitAuditCriteriaForApproval","cs","T_AU_ACTIVITY_LOG","T_AU_ACTIVITY_LOG; T_AUDIT_CRITERIA","T_AU_ACTIVITY_LOG; T_AUDIT_CRITERIA","True"
"PKG_AIS_EMAIL.P_ADDAUDITCRITERIA","PKG_AIS_EMAIL","Confirmed Active","SubmitAuditCriteriaForApproval","cs","","","","False"
"PKG_AIS.P_GETCOSORISKFORDEPARTMENT","PKG_AIS","Confirmed Active","GetCOSORiskForBranches; GetCOSORiskForDepartment","cs","T_COSO_RATING_DEPARTMENT_INHERITED_RISK; T_COSO_RATING_DEPARTMENT_FINAL; T_AU_PERIOD; T_AUDITEE_ENTITIES","","T_CURSOR; T_COSO_RATING_DEPARTMENT_INHERITED_RISK; T_COSO_RATING_DEPARTMENT_FINAL; T_AU_PERIOD; T_AUDITEE_ENTITIES","True"
"PKG_CM.P_CAU_OM","PKG_CM","Confirmed Active","CAUOMAssignment","cs","T_CAU_OM","T_CAU_OM","T_CAU_OM; T_CURSOR","True"
"PKG_CM.P_CAU_OM_REPLY","PKG_CM","Confirmed Active","CAUOMAssignment","cs","T_CAU_OM","T_CAU_OM_RESPONSE","T_CAU_OM_RESPONSE; T_CURSOR; T_CAU_OM","True"
"PKG_CM.P_CAU_AIR","PKG_CM","Confirmed Active","CAUOMAssignmentAIR","cs","T_CAU_AIR; DUAL","T_CAU_AIR","T_CAU_AIR; T_CURSOR","True"
"PKG_CM.P_CAU_AIR_REPLY","PKG_CM","Confirmed Active","CAUOMAssignmentAIR","cs","T_CAU_AIR_RESPONSE","T_CAU_AIR_RESPONSE","T_CAU_AIR_RESPONSE; T_CURSOR","True"
"PKG_CM.T_CAU_PDP","PKG_CM","Confirmed Active","CAUOMAssignmentPDP","cs","T_CAU_DAC_RECOMMENDATION","T_CAU_DAC_RECOMMENDATION","T_CAU_PDP; T_CAU_DAC_RECOMMENDATION; T_CURSOR","True"
"PKG_CM.T_CAU_ARPSE","PKG_CM","Confirmed Active","CAUOMAssignmentARPSE","cs","T_CAU_PAC_DIRECTIVES","T_CAU_PAC_DIRECTIVES","T_CAU_ARPSE; T_CAU_PAC_DIRECTIVES; T_CURSOR","True"
"PKG_CM.P_CAU_OM_GET","PKG_CM","Confirmed Active","CAUGetPreAddedOM","cs","T_CAU_OM","","T_CAU_OM; T_CURSOR","True"
"PKG_CM.P_CAUGETASSIGNEDOMS","PKG_CM","Confirmed Active","CAUGetAssignedOMs","cs","T_CAU_OM; T_CAU_STATUS","","T_CURSOR; T_CAU_OM; T_CAU_STATUS","True"
"PKG_PG.P_GETCCQ","PKG_PG","Confirmed Active","GetCCQ","cs","T_AU_ACTIVITY_LOG; T_AU_CCQ; T_AUDITEE_ENTITIES; T_COSO_RISK; T_CONTROL_VIOLATION","T_AU_ACTIVITY_LOG","T_CURSOR; T_AU_ACTIVITY_LOG; V_NAME; T_AU_CCQ; T_AUDITEE_ENTITIES; T_COSO_RISK; T_CONTROL_VIOLATION","True"
"PKG_PG.P_UPDATECCQ","PKG_PG","Confirmed Active","UpdateCCQ","cs","T_AU_ACTIVITY_LOG; T_RISK","T_AU_ACTIVITY_LOG; T_AU_CCQ","T_AU_ACTIVITY_LOG; T_RISK; T_AU_CCQ","True"
"PKG_AIS.P_AUDITEEOLDPARARESPONSE","PKG_AIS","Confirmed Active","AuditeeOldParaResponse","cs","","","","False"
"PKG_AIS.P_GETOLDPARASAUDITYEAR","PKG_AIS","Confirmed Active","GetOldParasAuditYear","cs","T_AU_OLD_PARAS_FAD","","T_CURSOR; T_AU_OLD_PARAS_FAD","True"
"PKG_AIS.P_GETOUTSTANDINGPARASAUDITYEAR","PKG_AIS","Low-Confidence / Needs Verification","GetOutstandingParasAuditYear","cs","T_AU_OBSERVATION_OLD_CAD_PARAS","","T_CURSOR; T_AU_OBSERVATION_OLD_CAD_PARAS","True"
"PKG_AIS.P_GETUSERWISEOLDPARASPERFORMANCE","PKG_AIS","Confirmed Active","GetUserWiseOldParasPerformance","cs","V_REPORT_AZ_EMP_PROGRESS; V_REPORT_AZ_PROGRESS","","T_CURSOR; V_REPORT_AZ_EMP_PROGRESS; V_REPORT_AZ_PROGRESS","True"
"PKG_AI.P_GETSTAFFPOSITION","PKG_AI","Likely Active","GetStaffPosition","cs","","","","False"
"PKG_AIS.P_ADDDIVISIONALHEADREMARKSONFUNCTIONALLEGACYPARA","PKG_AIS","Confirmed Active","AddDivisionalHeadRemarksOnFunctionalLegacyPara","cs","T_AU_OLD_FUNCTIONAL_PARA_DIVISION_HEAD_REMARKS; T_AU_OLD_PARAS_FAD","T_AU_OLD_FUNCTIONAL_PARA_DIVISION_HEAD_REMARKS","T_AU_OLD_FUNCTIONAL_PARA_DIVISION_HEAD_REMARKS; T_AU_OLD_PARAS_FAD","True"
"PKG_AI.P_GETGLHEADSUMMARY_YEARLY","PKG_AI","Confirmed Active","GetGlheadDetailsyearwise","cs","T_AU_PREINFO_GLDAYENDBALANCE; T_AUDITEE_ENTITIES; T_AU_PLAN_ENG; T_AU_AUDIT_JOINING; T_AU_AUDIT_TEAM_TASKLIST; T_AU_PREINFO_GL_TYPE","","T_CURSOR; T_AU_PREINFO_GLDAYENDBALANCE; T_AUDITEE_ENTITIES; T_AU_PLAN_ENG; T_AU_AUDIT_JOINING; T_AU_AUDIT_TEAM_TASKLIST; T_AU_PREINFO_GL_TYPE","True"
"PKG_AI.P_GETDEPOSITACCOUNTCATEGORY","PKG_AI","Likely Active","GetDepositCat","cs","","","","False"
"PKG_AIS.P_GETDEPOSITACCOUNTCATEGORY_DETAILS","PKG_AIS","Confirmed Active","GetDepositAccountcatdetails","cs","","","","False"
"PKG_AI.P_PREAUDITINFO_LOAN_SCHEME","PKG_AI","Likely Active","GetLoansScheme","cs","","","","False"
"PKG_AI.P_PREAUDITINFO_LOAN_SCHEME_YEARLY","PKG_AI","Likely Active","GetLoansSchemeYearly","cs","","","","False"
"PKG_PG.P_GET_SPECICAL_AUDIT_FOR_APPROVAL","PKG_PG","Confirmed Active","GetSaveSpecialAuditPlan","cs","T_AU_PRE_PLAN; T_AU_PERIOD; T_AUDIT_FREQUENCY; T_AUDITEE_ENTITIES_MAPING; T_AUDITEE_ENT_TYPES; T_AUDITEE_ENTITIES; T_AU_OLD_AUDIT_NATURE","","T_CURSOR; T_AU_PRE_PLAN; T_AU_PERIOD; T_AUDIT_FREQUENCY; T_AUDITEE_ENTITIES_MAPING; T_AUDITEE_ENT_TYPES; T_AUDITEE_ENTITIES; T_AU_OLD_AUDIT_NATURE","True"
"PKG_PG.P_ADD_SPECIAL_AUDIT_PLAN","PKG_PG","Confirmed Active","AddSpecialAuditPlan","cs","T_AU_PRE_PLAN; T_AUDITEE_ENTITIES; DUAL","T_AU_PRE_PLAN","T_CURSOR; T_AU_PRE_PLAN; T_AUDITEE_ENTITIES","True"
"PKG_PG.P_UPDATE_SPECIAL_AUDIT","PKG_PG","Confirmed Active","DeleteSpecialAuditPlan; SubmitSpecialAuditPlan","cs","DUAL; T_AU_PRE_PLAN; T_AU_PERIOD; T_AUDITEE_ENTITIES_MAPING; T_AUDITEE_ENTITIES","T_AU_PRE_PLAN; T_AU_PLAN","T_CURSOR; T_AU_PRE_PLAN; T_AU_PLAN; T_AU_PERIOD; T_AUDITEE_ENTITIES_MAPING; T_AUDITEE_ENTITIES","True"
"PKG_AR.P_DELETE_RESPONSIBILITY","PKG_AR","Confirmed Active","DeleteResponsibilityFromObservation","cs","T_AU_OBSERVATION; T_AU_OBSERVATION_RESPONIBILITY_ASSIGNED; DUAL","T_AU_OBSERVATION_RESPONIBILITY_ASSIGNED","T_CURSOR; T_AU_OBSERVATION; T_AU_OBSERVATION_RESPONIBILITY_ASSIGNED","True"
"PKG_DB.P_GET_DASH_TABLE_FUNCTIONWISE_NAMES","PKG_DB","Likely Active","GetFunctionalListForDashboard","DB","T_AU_ACTIVITY_LOG; V_REPORT_DASHBORAD_DETAIL; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_AUDITEE_ENTITIES","T_AU_ACTIVITY_LOG","T_CURSOR; T_AU_ACTIVITY_LOG; V_REPORT_DASHBORAD_DETAIL; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_ID; T_AUDITEE_ENTITIES","True"
"PKG_DB.P_GET_DASH_TABLE_FUNCTIONWISE_NAMES_CHECKLIST","PKG_DB","Confirmed Active","GetViolationListForDashboard","DB","T_AU_ACTIVITY_LOG; V_REPORT_DASHBORAD_DETAIL; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_AUDITEE_ENTITIES","T_AU_ACTIVITY_LOG","T_CURSOR; T_AU_ACTIVITY_LOG; T_ID; V_REPORT_DASHBORAD_DETAIL; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_AUDITEE_ENTITIES","True"
"PKG_DB.P_GET_DASH_TABLE_FUNCTIONWISE_NAMES_CHECKLIST_SUB","PKG_DB","Confirmed Active","GetSubViolationListForDashboard","DB","T_AU_ACTIVITY_LOG; V_REPORT_DASHBORAD_DETAIL; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_AUDITEE_ENTITIES","T_AU_ACTIVITY_LOG","T_CURSOR; T_AU_ACTIVITY_LOG; V_REPORT_DASHBORAD_DETAIL; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_ID; T_AUDITEE_ENTITIES","True"
"PKG_DB.P_GET_DASH_TABLE_FUNCTIONWISE_NAMES_HO","PKG_DB","Confirmed Active","GetHOFunctionalListForDashboard","DB","V_GET_DASH_TABLE_FUNCTIONWISE_NAMES_HO; T_COSO_RATING_FACTORS; T_CONTROL_VIOLATION_SUB; T_RISK; T_AUDITEE_ENTITIES","","T_CURSOR; V_GET_DASH_TABLE_FUNCTIONWISE_NAMES_HO; T_COSO_RATING_FACTORS; V_CAT_ID; T_CONTROL_VIOLATION_SUB; V_CAT_NATURE_ID; T_RISK; T_AUDITEE_ENTITIES","True"
"PKG_DB.P_GET_DASH_TABLE_FUNCTIONWISE_NAMES_CHECKLIST_HO","PKG_DB","Confirmed Active","GetHOViolationListForDashboard","DB","V_GET_DASH_TABLE_FUNCTIONWISE_NAMES_HO; T_COSO_RATING_FACTORS; T_CONTROL_VIOLATION_SUB; T_RISK; T_AUDITEE_ENTITIES","","T_CURSOR; T_ID; V_GET_DASH_TABLE_FUNCTIONWISE_NAMES_HO; T_COSO_RATING_FACTORS; V_CAT_ID; T_CONTROL_VIOLATION_SUB; V_CAT_NATURE_ID; T_RISK; T_AUDITEE_ENTITIES","True"
"PKG_DB.P_GET_DASH_TABLE_FUNCTIONWISE_NAMES_CHECKLIST_SUB_HO","PKG_DB","Confirmed Active","GetHOSubViolationListForDashboard","DB","V_GET_DASH_TABLE_FUNCTIONWISE_NAMES_HO; T_COSO_RATING_FACTORS; T_CONTROL_VIOLATION_SUB; T_RISK; T_AUDITEE_ENTITIES","","T_CURSOR; V_GET_DASH_TABLE_FUNCTIONWISE_NAMES_HO; T_COSO_RATING_FACTORS; V_CAT_ID; T_CONTROL_VIOLATION_SUB; V_CAT_NATURE_ID; T_RISK; T_AUDITEE_ENTITIES","True"
"PKG_DB.P_GETCHILDPOSTING","PKG_DB","Confirmed Active","GetchildpostingForDashboardPanel","DB","T_AUDITEE_ENT_RELATION","","T_CURSOR; T_AUDITEE_ENT_RELATION; T_AUDITEE_ENT_TYPES; T_AUDITEE_ENTITIES_MAPING; T_AUDITEE_ENTITIES","True"
"PKG_DB.P_GETPARENTREPOFFICE","PKG_DB","Confirmed Active","GetparentrepofficeForDashboardPanel","DB","T_AUDITEE_ENT_RELATION","","T_CURSOR; T_AUDITEE_ENT_RELATION; T_AUDITEE_ENT_TYPES; T_AUDITEE_ENTITIES_MAPING","True"
"PKG_DB.P_GETREALTIONSHIPTYPE","PKG_DB","Confirmed Active","GetrealtionshiptypeForDashboardPanel","DB","T_AUDITEE_ENT_RELATION; T_AUDITEE_ENTITIES_MAPING; T_AUDITEE_ENTITIES_MAPING_FUNCTION","","T_CURSOR; T_AUDITEE_ENT_RELATION; T_AUDITEE_ENTITIES_MAPING; T_AUDITEE_ENTITIES_MAPING_FUNCTION","True"
"PKG_DB.P_GETFUNCTIONALRESPONSIBILITYWISEPARA","PKG_DB","Confirmed Active","GetFunctionalResponsibilityWisePara","DB","V_FUNCTIONAL_RESPONSIBLITY; V_DASH_BORAD_OF_DIVISIONAL_HEAD","","T_CURSOR; V_FUNCTIONAL_RESPONSIBLITY; V_DASH_BORAD_OF_DIVISIONAL_HEAD","True"
"PKG_DB.P_GET_DASH_TABLE_FUNCTIONWISE","PKG_DB","Confirmed Active","GetFunctionalResponsibilityWiseParaForDashboard","DB","T_AU_OBSERVATION; T_AU_OBSERVATION_TEXT; T_AUDIT_CHECKLIST_ANNEXURE; T_AUDIT_CHECKLIST_DETAILS; T_AUDITEE_ENTITIES; T_AUDITEE_ENTITIES_MAPING; T_RISK; T_AU_PLAN_ENG; T_AU_PERIOD","","T_CURSOR; T_AU_OBSERVATION; T_AU_OBSERVATION_TEXT; T_AUDIT_CHECKLIST_ANNEXURE; T_AUDIT_CHECKLIST_DETAILS; T_AUDITEE_ENTITIES; T_AUDITEE_ENTITIES_MAPING; T_RISK; T_AU_PLAN_ENG; T_AU_PERIOD","True"
"PKG_DB.P_GET_DASH_TABLE_FUNCTIONWISE_HO","PKG_DB","Confirmed Active","GetHOFunctionalResponsibilityWiseParaForDashboard","DB","V_GET_DASH_TABLE_FUNCTIONWISE_NAMES_HO; T_COSO_RATING_FACTORS; T_CONTROL_VIOLATION_SUB; T_RISK; T_AUDITEE_ENTITIES","","T_CURSOR; V_GET_DASH_TABLE_FUNCTIONWISE_NAMES_HO; T_COSO_RATING_FACTORS; V_CAT_ID; T_CONTROL_VIOLATION_SUB; V_CAT_NATURE_ID; T_RISK; T_AUDITEE_ENTITIES; V_ID","True"
"PKG_DB.P_GET_DASH_TABLE_V_WISE","PKG_DB","Confirmed Active","GetViolationWiseParaForDashboard","DB","V_REPORT_DASHBORAD_DETAIL; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_AUDITEE_ENTITIES; T_AUDITEE_ENTITIES_MAPING","","T_CURSOR; V_REPORT_DASHBORAD_DETAIL; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_ID; T_AUDITEE_ENTITIES; T_AUDITEE_ENTITIES_MAPING","True"
"PKG_DB.P_GET_DASH_TABLE_OLD","PKG_DB","Confirmed Active","GetRelationLegacyObservationForDashboard","DB","AIS_T_AU_POST_COMPLIANCE; T_AUDIT_CHECKLIST_ANNEXURE; T_AUDITEE_ENTITIES; T_AUDITEE_ENTITIES_MAPING","","T_CURSOR; AIS_T_AU_POST_COMPLIANCE; T_AUDIT_CHECKLIST_ANNEXURE; T_AUDITEE_ENTITIES; T_AUDITEE_ENTITIES_MAPING","True"
"PKG_DB.P_GET_DASH_TABLE_NEW","PKG_DB","Confirmed Active","GetRelationAISObservationForDashboard","DB","AIS_T_AU_POST_COMPLIANCE; T_AUDIT_CHECKLIST_ANNEXURE; T_AUDITEE_ENTITIES; T_AUDITEE_ENTITIES_MAPING","","T_CURSOR; AIS_T_AU_POST_COMPLIANCE; T_AUDIT_CHECKLIST_ANNEXURE; T_AUDITEE_ENTITIES; T_AUDITEE_ENTITIES_MAPING","True"
"PKG_DB.P_GET_DASH_TABLE","PKG_DB","Confirmed Active","GetRelationObservationForDashboard","DB","AIS_T_AU_POST_COMPLIANCE; T_AUDIT_CHECKLIST_ANNEXURE; T_AUDITEE_ENTITIES; T_AUDITEE_ENTITIES_MAPING","","T_CURSOR; AIS_T_AU_POST_COMPLIANCE; T_AUDIT_CHECKLIST_ANNEXURE; T_AUDITEE_ENTITIES; T_AUDITEE_ENTITIES_MAPING","True"
"PKG_DB.P_GET_RISK_BASEPLAN","PKG_DB","Confirmed Active","GetEntitiesRiskBasePlanForDashboard","DB","V_R_RISKBASE_PLANNING","","T_CURSOR; V_R_RISKBASE_PLANNING","True"
"PKG_DB.P_GET_AUDIT_PERFORMANCE","PKG_DB","Confirmed Active","GetAuditPerformanceForDashboard","DB","V_AUDIT_PERFORMANCE","","T_CURSOR; V_AUDIT_PERFORMANCE","True"
"PKG_DB.P_GET_DASHBORAD_SCORECARD","PKG_DB","Confirmed Active","GetAuditPerformanceChartForDashboard","DB","T_DASHBOARD_SCORECARD","","T_CURSOR; T_DASHBOARD_SCORECARD","True"
"PKG_DB.P_GET_DASH_REPETITIVE","PKG_DB","Confirmed Active","GetRepetativeParaForDashboard","DB","V_R_REPEATED_VOILATIONS","","T_CURSOR; V_R_REPEATED_VOILATIONS; T_ID","True"
"PKG_DB.P_FUNCTIONAL_REPORTING_OFFICE_WISE_ANALYSIS","PKG_DB","Confirmed Active","GetReportingOfficeWiseObservations","DB","AIS_T_AU_POST_COMPLIANCE; T_AUDIT_CHECKLIST_ANNEXURE; T_AUDITEE_ENTITIES_MAPING","","T_CURSOR; AIS_T_AU_POST_COMPLIANCE; T_AUDIT_CHECKLIST_ANNEXURE; T_AUDITEE_ENTITIES_MAPING","True"
"PKG_DB.P_FUNCTIONAL_ENTITY_WISE_ANALYSIS","PKG_DB","Confirmed Active","GetEntityWiseObservations","DB","V_P_FUNCTIONAL_ENTITY_WISE_ANALYSIS; T_AUDITEE_ENTITIES; V_GM_MAPPING; T_AUDITEE_ENTITIES_MAPING; V_P_FUNCTIONAL_ENTITY_WISE_ANALYSIS_OPS","","T_CURSOR; V_P_FUNCTIONAL_ENTITY_WISE_ANALYSIS; T_AUDITEE_ENTITIES; V_GM_MAPPING; T_AUDITEE_ENTITIES_MAPING; V_P_FUNCTIONAL_ENTITY_WISE_ANALYSIS_OPS","True"
"PKG_DB.P_FUNCTIONAL_ANALYSIS_DETAILS","PKG_DB","Confirmed Active","GetAnnexureWiseObservations","DB","PARA_ADDED_ON; P_REF_DATE; VW_AU_POST_COMPLIANCE_FULL; T_AUDIT_CHECKLIST_ANNEXURE_PROCESS; T_AUDIT_CHECKLIST_ANNEXURE_MAPPING; T_AUDIT_CHECKLIST_ANNEXURE; AIS_T_AU_POST_COMPLIANCE; T_AUDITEE_ENTITIES_MAPING","","T_CURSOR; T_AUDIT_CHECKLIST_ANNEXURE_PROCESS; T_AUDIT_CHECKLIST_ANNEXURE_MAPPING; T_AUDIT_CHECKLIST_ANNEXURE; AIS_T_AU_POST_COMPLIANCE; T_AUDITEE_ENTITIES_MAPING","True"
"PKG_DB.P_FUNCTION_ANNEXURE","PKG_DB","Low-Confidence / Needs Verification","GetFunctionAnnexures","DB","T_AUDIT_CHECKLIST_ANNEXURE; V_CIA_ANALYSIS; V_GM_MAPPING","","T_CURSOR; T_AUDIT_CHECKLIST_ANNEXURE; V_CIA_ANALYSIS; V_GM_MAPPING","True"
"PKG_DB.P_FUNCTIONAL_ENTITY_WISE_PARAS","PKG_DB","Confirmed Active","GetEntityWiseObservationDetail","DB","T_USER; V_DASH_BORAD_PARA_DEATILS; T_AUDITEE_ENTITIES_MAPING","","T_CURSOR; T_USER; V_DASH_BORAD_PARA_DEATILS; T_AUDITEE_ENTITIES_MAPING","True"
"PKG_DB.P_FUNCTION_ANNEXURE_PARAS","PKG_DB","Confirmed Active","GetFunctionalObservations","DB","T_AUDIT_CHECKLIST_ANNEXURE; V_CIA_ANALYSIS; T_AUDITEE_ENTITIES","","T_CURSOR; T_AUDIT_CHECKLIST_ANNEXURE; V_CIA_ANALYSIS; T_AUDITEE_ENTITIES","True"
"PKG_DB.P_FUNCTION_ANNEXURE_PARAS_TEXT","PKG_DB","Confirmed Active","GetFunctionalObservationText","DB","T_AU_OLD_PARAS_FAD; T_AU_OLD_PARAS_FAD_TEXT; T_AU_OBSERVATION; T_AU_OBSERVATION_TEXT","","T_CURSOR; T_AU_OLD_PARAS_FAD; T_AU_OLD_PARAS_FAD_TEXT; T_AU_OBSERVATION; T_AU_OBSERVATION_TEXT","True"
"PKG_DB.P_GET_DASH_TABLE_FUNCTIONWISE_PARA","PKG_DB","Confirmed Active","GetFunctionalRespDetailPara","DB","T_AUDIT_CHECKLIST_ANNEXURE; AIS_T_AU_POST_COMPLIANCE; T_AUDITEE_ENTITIES","","T_CURSOR; T_AUDIT_CHECKLIST_ANNEXURE; AIS_T_AU_POST_COMPLIANCE; T_AUDITEE_ENTITIES","True"
"PKG_DB.P_GET_DASH_TABLE_FUNCTIONWISE_PARA_SUMMARY","PKG_DB","Confirmed Active","GetFunctionalRespSummaryPara","DB","T_AUDIT_CHECKLIST_ANNEXURE; T_AUDIT_CHECKLIST_DETAILS; V_CIA_ANALYSIS; T_AUDITEE_ENTITIES; T_AUDITEE_ENTITIES_MAPING","","T_CURSOR; T_AUDIT_CHECKLIST_ANNEXURE; T_AUDIT_CHECKLIST_DETAILS; V_CIA_ANALYSIS; T_AUDITEE_ENTITIES; T_AUDITEE_ENTITIES_MAPING","True"
"PKG_DB.P_COMPLIANCE_SUMMARY","PKG_DB","Confirmed Active","GetComplianceSummary","DB","T_AUDITEE_ENTITIES_MAPING; V_GET_PARA_COMPLIANCE_SUMMARY; T_AUDITEE_ENT_TYPES","","T_CURSOR; V_F; T_AUDITEE_ENTITIES_MAPING; V_GET_PARA_COMPLIANCE_SUMMARY; T_AUDITEE_ENT_TYPES","True"
"PKG_FAD.P_GETAUDITCHECKLISTANNEXURECIRCULARS","PKG_FAD","Likely Active","GetAuditChecklistAnnexureCirculars","FAD","T_AUDIT_CHECKLIST_ANNEXURE_CIRCULAR","","T_AUDIT_CHECKLIST_ANNEXURE_CIRCULAR","True"
"PKG_AR.P_GET_RESPONSIBILITY_FOR_AUTHORIZE","PKG_AR","Confirmed Active","GetResponsibilityForAuthorize","FAD","T_AU_OBSERVATION_RESPONSIBILITY_UPDATED; V_SERVICE_EMPLOYEEINFO","","T_CURSOR; T_AU_OBSERVATION_RESPONSIBILITY_UPDATED; V_SERVICE_EMPLOYEEINFO","True"
"PKG_FAD.P_GETAUDITEMPLOYEES","PKG_FAD","Confirmed Active","GetFadAuditEmployees","FAD","T_AU_TBL_ALLOCATIONS; T_AUDIT_EMP","","T_CURSOR; T_AU_TBL_ALLOCATIONS; T_AUDIT_EMP","True"
"PKG_AR.P_RESPONIBILITYFOROLDPARA","PKG_AR","Confirmed Active","AddResponsibilityforoldparas","FAD","AIS_T_AU_POST_COMPLIANCE; DUAL; T_AU_OBSERVATION_RESPONSIBILITY_UPDATED","T_AU_OBSERVATION_RESPONSIBILITY_UPDATED; MULTIPLE","T_CURSOR; V_IND; V_MSG; V_ACTION; V_NEW_ID; AIS_T_AU_POST_COMPLIANCE; T_AU_OBSERVATION_RESPONSIBILITY_UPDATED","True"
"PKG_AR.P_GETOBSERVATIONSFORMANAGEAUDITPARAS","PKG_AR","Confirmed Active","GetObservationsForManageAuditParas","FAD","AIS_T_AU_POST_COMPLIANCE; T_RISK; T_AUDIT_CHECKLIST_ANNEXURE; T_AU_OBSERVATION_UPDATED_REFERENCE","","T_CURSOR; AIS_T_AU_POST_COMPLIANCE; T_RISK; T_AUDIT_CHECKLIST_ANNEXURE; T_AU_OBSERVATION_UPDATED_REFERENCE","True"
"PKG_AR.P_GETOBSERVATIONSDETAILSFORMANAGEAUDITPARAS","PKG_AR","Confirmed Active","GetObservationDetailsForManageAuditParas","FAD","AIS_T_AU_POST_COMPLIANCE; T_RISK; T_AUDIT_CHECKLIST_ANNEXURE; T_AU_OLD_PARAS_FAD_TEXT; T_AU_OBSERVATION_TEXT; T_AU_OBSERVATION_OLD_CAD_PARAS_TEXT","","T_CURSOR; AIS_T_AU_POST_COMPLIANCE; T_RISK; T_AUDIT_CHECKLIST_ANNEXURE; T_AU_OLD_PARAS_FAD_TEXT; T_AU_OBSERVATION_TEXT; T_AU_OBSERVATION_OLD_CAD_PARAS_TEXT","True"
"PKG_AR.GETRESPONSIBLEPPNOFOROLDPARA","PKG_AR","Confirmed Active","GetResponsiblePPNOforoldPara","FAD","V_GET_AUDITEE_PARAS_FAD_COMPLIANCE_PPNO; V_SERVICE_EMPLOYEEINFO","","T_CURSOR; V_GET_AUDITEE_PARAS_FAD_COMPLIANCE_PPNO; V_SERVICE_EMPLOYEEINFO","True"
