"TableName","ColumnName","DataType","IsNotNull","HasDefault","RawLine"
"tbl_user_scope","user_scope_id","NUMBER","True","False","user_scope_id          NUMBER         NOT NULL"
"tbl_user_scope","user_id","NUMBER","True","False","user_id                NUMBER         NOT NULL"
"tbl_user_scope","scope_type_id","NUMBER","True","False","scope_type_id          NUMBER         NOT NULL"
"tbl_user_scope","entity_id","NUMBER","True","False","entity_id              NUMBER         NOT NULL"
"tbl_user_scope","scope_status_id","NUMBER","False","False","scope_status_id        NUMBER"
"tbl_user_scope","is_active","CHAR(1)","True","True","is_active              CHAR(1)        DEFAULT 'Y' NOT NULL"
"tbl_user_scope","created_by","NUMBER","False","False","created_by             NUMBER"
"tbl_user_scope","created_on","DATE","True","True","created_on             DATE           DEFAULT SYSDATE NOT NULL"
"tbl_user_scope","modified_by","NUMBER","False","False","modified_by            NUMBER"
"tbl_user_scope","modified_on","DATE","False","False","modified_on            DATE"
"tbl_user_scope","record_version","NUMBER","True","True","record_version         NUMBER         DEFAULT 1 NOT NULL"
"tbl_user_session","user_session_id","NUMBER","True","False","user_session_id        NUMBER         NOT NULL"
"tbl_user_session","user_id","NUMBER","True","False","user_id                NUMBER         NOT NULL"
"tbl_user_session","session_token","VARCHAR2(500)","True","False","session_token          VARCHAR2(500)  NOT NULL"
"tbl_user_session","login_ip_address","VARCHAR2(100)","False","False","login_ip_address       VARCHAR2(100)"
"tbl_user_session","login_user_agent","VARCHAR2(1000)","False","False","login_user_agent       VARCHAR2(1000)"
"tbl_user_session","login_on","DATE","True","True","login_on               DATE           DEFAULT SYSDATE NOT NULL"
"tbl_user_session","logout_on","DATE","False","False","logout_on              DATE"
"tbl_user_session","session_status_id","NUMBER","True","False","session_status_id      NUMBER         NOT NULL"
"tbl_user_session","is_active","CHAR(1)","True","True","is_active              CHAR(1)        DEFAULT 'Y' NOT NULL"
"tbl_user_session","created_by","NUMBER","False","False","created_by             NUMBER"
"tbl_user_session","created_on","DATE","True","True","created_on             DATE           DEFAULT SYSDATE NOT NULL"
"tbl_user_session","modified_by","NUMBER","False","False","modified_by            NUMBER"
"tbl_user_session","modified_on","DATE","False","False","modified_on            DATE"
"tbl_user_session","record_version","NUMBER","True","True","record_version         NUMBER         DEFAULT 1 NOT NULL"
"tbl_plan_criteria","plan_criteria_id","NUMBER","True","False","plan_criteria_id       NUMBER         NOT NULL"
"tbl_plan_criteria","audit_period_id","NUMBER","True","False","audit_period_id        NUMBER         NOT NULL"
"tbl_plan_criteria","entity_type_id","NUMBER","True","False","entity_type_id         NUMBER         NOT NULL"
"tbl_plan_criteria","risk_rating_id","NUMBER","False","False","risk_rating_id         NUMBER"
"tbl_plan_criteria","size_band_id","NUMBER","False","False","size_band_id           NUMBER"
"tbl_plan_criteria","frequency_id","NUMBER","False","False","frequency_id           NUMBER"
"tbl_plan_criteria","duration_days","NUMBER","True","False","duration_days          NUMBER         NOT NULL"
"tbl_plan_criteria","visit_count","NUMBER","True","True","visit_count            NUMBER         DEFAULT 1 NOT NULL"
"tbl_plan_criteria","criteria_status_id","NUMBER","True","False","criteria_status_id     NUMBER         NOT NULL"
"tbl_plan_criteria","criteria_notes","VARCHAR2(1000)","False","False","criteria_notes         VARCHAR2(1000)"
"tbl_plan_criteria","approved_by","NUMBER","False","False","approved_by            NUMBER"
"tbl_plan_criteria","approved_on","DATE","False","False","approved_on            DATE"
"tbl_plan_criteria","is_active","CHAR(1)","True","True","is_active              CHAR(1)        DEFAULT 'Y' NOT NULL"
"tbl_plan_criteria","created_by","NUMBER","False","False","created_by             NUMBER"
"tbl_plan_criteria","created_on","DATE","True","True","created_on             DATE           DEFAULT SYSDATE NOT NULL"
"tbl_plan_criteria","modified_by","NUMBER","False","False","modified_by            NUMBER"
"tbl_plan_criteria","modified_on","DATE","False","False","modified_on            DATE"
"tbl_plan_criteria","record_version","NUMBER","True","True","record_version         NUMBER         DEFAULT 1 NOT NULL"
"tbl_engagement","engagement_id","NUMBER","True","False","engagement_id          NUMBER         NOT NULL"
"tbl_engagement","engagement_no","VARCHAR2(50)","True","False","engagement_no          VARCHAR2(50)   NOT NULL"
"tbl_engagement","audit_period_id","NUMBER","True","False","audit_period_id        NUMBER         NOT NULL"
"tbl_engagement","plan_criteria_id","NUMBER","False","False","plan_criteria_id       NUMBER"
"tbl_engagement","entity_id","NUMBER","True","False","entity_id              NUMBER         NOT NULL"
"tbl_engagement","engagement_type_id","NUMBER","False","False","engagement_type_id     NUMBER"
"tbl_engagement","team_name","VARCHAR2(150)","True","False","team_name              VARCHAR2(150)  NOT NULL"
"tbl_engagement","scope_summary","VARCHAR2(1000)","False","False","scope_summary          VARCHAR2(1000)"
"tbl_engagement","audit_start_on","DATE","True","False","audit_start_on         DATE           NOT NULL"
