"PackageName","ProcedureCall","Status","Modules","Methods","ReadObjects","WriteObjects","ObjectRefs","MappingFound","RecommendedTreatment"
"PKG_AR","PKG_AR.P_GETMANAGEDOBSERVATIONSFORBRANCHES","Confirmed Active","AR","GetManagedObservationsForBranches","T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AUDITEE_ENTITIES; T_AU_OBSERVATION_STATUS; T_AU_PERIOD; T_AU_OBSERVATION_TEXT; T_AUDIT_CHECKLIST_ANNEXURE; T_RISK","","T_CURSOR; T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AUDITEE_ENTITIES; T_AU_OBSERVATION_STATUS; T_AU_PERIOD; T_AU_OBSERVATION_TEXT; T_AUDIT_CHECKLIST_ANNEXURE; T_RISK","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_GETMANAGEDOBSERVATIONSFORBRANCHESTEXT","Confirmed Active","AR","GetManagedObservationTextForBranches","T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AU_OBSERVATION_TEXT; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST","","T_CURSOR; T_ID; T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AU_OBSERVATION_TEXT; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_GETMANAGEDDRAFTOBSERVATIONS","Confirmed Active","AR","GetManagedDraftObservations","T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AU_OBSERVATION_TEXT; T_AUDITEE_ENTITIES; T_RISK; T_AU_OBSERVATION_STATUS; T_AU_PERIOD; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_AU_OBSERVATIONS_AUDITOR_RESPONSE; T_CONTROL_VIOLATION; T_CONTROL_VIOLATION_SUB","","T_CURSOR; M_F; T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AU_OBSERVATION_TEXT; T_AUDITEE_ENTITIES; T_RISK; T_AU_OBSERVATION_STATUS; T_AU_PERIOD; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_ID; T_AU_OBSERVATIONS_AUDITOR_RESPONSE; V_NAME; T_CONTROL_VIOLATION; V_CAT_ID; T_CONTROL_VIOLATION_SUB; V_CAT_NATURE_ID","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_GETMANAGEDDRAFTOBSERVATIONSFORBRANCHES","Confirmed Active","AR","GetManagedDraftObservationsBranch; GetManagedDraftObservationsForBranches","T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AU_OBSERVATION_TEXT; T_AUDITEE_ENTITIES; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_RISK; T_AU_OBSERVATION_STATUS; T_AU_PERIOD; T_AU_OBSERVATIONS_AUDITOR_RESPONSE","","T_CURSOR; T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AU_OBSERVATION_TEXT; T_AUDITEE_ENTITIES; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_ID; T_RISK; T_AU_OBSERVATION_STATUS; T_AU_PERIOD; T_AU_OBSERVATIONS_AUDITOR_RESPONSE","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_GETMANAGEDDRAFTOBSERVATIONSBRANCH","Confirmed Active","AR","GetEntityReportParasForBranch","T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AU_OBSERVATION_TEXT; T_AUDITEE_ENTITIES; T_RISK; T_AU_OBSERVATION_STATUS; T_AU_PERIOD; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_AU_OBSERVATIONS_AUDITOR_RESPONSE","","T_CURSOR; M_F; T_AU_OBSERVATION; T_AU_PLAN_ENG; T_AU_OBSERVATION_TEXT; T_AUDITEE_ENTITIES; T_RISK; T_AU_OBSERVATION_STATUS; T_AU_PERIOD; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AUDIT_CHECKLIST; T_ID; T_AU_OBSERVATIONS_AUDITOR_RESPONSE","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_GETMANAGEDDRAFTOBSERVATIONSTEXT","Confirmed Active","AR","GetManagedDraftObservationsText","T_AU_OBSERVATION_TEXT","","T_CURSOR; T_AU_OBSERVATION_TEXT","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_GETAUDITEECHECKKLIST","Confirmed Active","AR","GetSubChecklistStatus","T_AUDITEE_CHECKKLIST; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AU_OBSERVATION; T_AU_OBSERVATION_TEXT","","T_CURSOR; T_AUDITEE_CHECKKLIST; T_AUDIT_CHECKLIST_DETAILS; T_AUDIT_CHECKLIST_SUB; T_AU_OBSERVATION; T_AU_OBSERVATION_TEXT","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_DROPAUDITOBSERVATION","Confirmed Active","AR","DropAuditObservation","T_AU_ACTIVITY_LOG; T_AU_OBSERVATION; T_AU_AUDIT_TEAM_TASKLIST; T_AU_TEAM_MEMBERS; T_USER_MAPING; T_AU_REMARKS","T_AU_ACTIVITY_LOG; T_AU_OBSERVATION","T_CURSOR; V_F; T_L; T_AU_ACTIVITY_LOG; T_AU_OBSERVATION; T_AU_AUDIT_TEAM_TASKLIST; T_AU_TEAM_MEMBERS; T_ID; T_USER_MAPING; T_AU_REMARKS","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_SUBMITAUDITOBSERVATIONTOAUDITEE","Confirmed Active","AR","SubmitAuditObservationToAuditee","T_AU_OBSERVATION; T_AU_OBSERVATION_TEXT; T_AU_AUDIT_TEAM_TASKLIST; T_AU_TEAM_MEMBERS; T_AU_ACTIVITY_LOG; T_AUDITEE_ENTITEE_SUBENTITY; T_AU_OBSERVATION_ASSIGNEDTO; DUAL; T_AU_REMARKS","T_AU_ACTIVITY_LOG; T_AU_OBSERVATION_ASSIGNEDTO; T_AU_OBSERVATION; T_AU_OBSERVATION_TEXT","T_CURSOR; T_AU_OBSERVATION; T_AU_OBSERVATION_TEXT; T_AU_AUDIT_TEAM_TASKLIST; T_AU_TEAM_MEMBERS; T_ID; T_AU_ACTIVITY_LOG; T_AUDITEE_ENTITEE_SUBENTITY; T_AU_OBSERVATION_ASSIGNEDTO; M_F; T_AU_REMARKS","True","Keep within future-state module design"
"PKG_AR","PKG_AR.P_UPDATEAUDITOBSERVATIONSTATUS","Confirmed Active","AR","UpdateAuditObservationStatus","T_AU_ACTIVITY_LOG; T_AU_TEAM_MEMBERS; T_AU_AUDIT_TEAM_TASKLIST; T_AU_OBSERVATION; T_AU_OBSERVATION_STATUS; T_AU_REMARKS","T_AU_ACTIVITY_LOG; T_AU_OBSERVATIONS_AUDITEE_RESPONSE; T_AU_OBSERVATION","T_CURSOR; T_AU_ACTIVITY_LOG; T_AU_TEAM_MEMBERS; T_AU_AUDIT_TEAM_TASKLIST; T_ID; T_AU_OBSERVATION; T_AU_OBSERVATIONS_AUDITEE_RESPONSE; T_AU_OBSERVATION_STATUS; T_AU_REMARKS","True","Keep within future-state module design"
