DBConnection method,active_reference_count,references
GetOldParasManagement,3,AIS\DBConnection.AE.cs:599:public List<OldParasModelCAD> GetOldParasManagement() | AIS\DBConnection.archive.cs:48:public List<OldParasModelCAD> GetOldParasManagement() => _dbConnection.GetOldParasManagement(); | AIS\Controllers\ApiCallsController.cs:2081:return archiveDbConnection.GetOldParasManagement();
GetOldParasObservationResponsiblePPNOsUpdatedByImp,2,"AIS\DBConnection.HD.cs:130:public List<ObservationResponsiblePPNOModel> GetOldParasObservationResponsiblePPNOsUpdatedByImp(int PARA_ID, string PARA | AIS\DBConnection.HD.cs:816://chk.UPDATED_RESPONSIBLE_PPs_BY_IMP = this.GetOldParasObservationResponsiblePPNOsUpdatedByImp(PID, chk.PARA_CATEGORY, 0"
GetOldParasReferredBackBranchComplianceTextForImpIncharge,2,"AIS\DBConnection.HD.cs:743:public GetOldParasBranchComplianceTextModel GetOldParasReferredBackBranchComplianceTextForImpIncharge(int PID, string Re | AIS\Controllers\ApiCallsController.cs:2414:return dBConnection.GetOldParasReferredBackBranchComplianceTextForImpIncharge(PID, REF_P, PARA_CATEGORY, REPLY_DATE, OBS"
GetParaPrintingYearsForCAU,2,"AIS\DBConnection.cs:1560:public List<AuditPeriodModel> GetParaPrintingYearsForCAU() | AIS\Controllers\CAU\CAUController.cs:100:ViewData[""ArpseYearList""] = dBConnection.GetParaPrintingYearsForCAU();"
GetReferredBackParasComplianceForImpZone,2,AIS\DBConnection.HD.cs:871:public List<GetOldParasforComplianceSettlement> GetReferredBackParasComplianceForImpZone() | AIS\Controllers\ApiCallsController.cs:2476:return dBConnection.GetReferredBackParasComplianceForImpZone();
GetSbpObservationResponse,3,AIS\DBConnection.CAD.cs:270:public SBPObservationHistoryItem GetSbpObservationResponse(long responseId) | AIS\Controllers\ApiCallsController.cs:903:public IActionResult GetSbpObservationResponse(long responseId) | AIS\Controllers\ApiCallsController.cs:917:var result = db.GetSbpObservationResponse(responseId);
GetStaffPosition,3,"AIS\DBConnection.archive.cs:28:public object GetStaffPosition() => _dbConnection.GetStaffPosition(); | AIS\DBConnection.cs:3820:public List<StaffPositionModel> GetStaffPosition() | AIS\Controllers\ArchiveController.cs:142:ViewData[""staffpos""] = archiveDbConnection.GetStaffPosition();"
InsertIidExceptionReportFormat,2,AIS\DBConnection.IID.ExceptionReports.cs:134:public string InsertIidExceptionReportFormat(ExceptionReportFormatModel model) | AIS\Controllers\ApiCallsController.cs:5116:var result = dBConnection.InsertIidExceptionReportFormat(model);
UpdateAuditBudget,2,"AIS\DBConnection.AD.cs:6829:public string UpdateAuditBudget(FADAuditBudgetModel m) | AIS\Controllers\ApiCallsController.cs:4620:return ""{\""Status\"":true,\""Message\"":\"""" + dBConnection.UpdateAuditBudget(model) + ""\""}"";"
UpdateAuditEmployee,2,"AIS\DBConnection.AD.cs:6694:public string UpdateAuditEmployee(FADAuditEmpModel m) | AIS\Controllers\ApiCallsController.cs:4594:return ""{\""Status\"":true,\""Message\"":\"""" + dBConnection.UpdateAuditEmployee(model) + ""\""}"";"
UpdateAuditManpower,2,"AIS\DBConnection.AD.cs:6762:public string UpdateAuditManpower(FADAuditManpowerModel m) | AIS\Controllers\ApiCallsController.cs:4607:return ""{\""Status\"":true,\""Message\"":\"""" + dBConnection.UpdateAuditManpower(model) + ""\""}"";"
UpdateComplianceFlow,2,"AIS\DBConnection.AD.cs:5041:public string UpdateComplianceFlow(string ID, string ENTITY_TYPE_ID, string GROUP_ID, string PREV_GROUP_ID, string NEXT_ | AIS\Controllers\ApiCallsController.cs:3653:return ""{\""Status\"":true,\""Message\"":\"""" + dBConnection.UpdateComplianceFlow(ID, ENTITY_TYPE_ID, GROUP_ID, PREV_GROUP_ID"
UpdateIidExceptionReportFormat,2,AIS\DBConnection.IID.ExceptionReports.cs:175:public string UpdateIidExceptionReportFormat(ExceptionReportFormatModel model) | AIS\Controllers\ApiCallsController.cs:5129:var result = dBConnection.UpdateIidExceptionReportFormat(model);
