page_key,page_key,view_name,controller_name,action_name,http_method,call_type,source_type,confidence_level,Api Path,
254,254,Dashboard/compliance_summary.cshtml,ApiCalls,get_compliance_summary,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_compliance_summary,
242,242,Dashboard/entity_wise_obs.cshtml,ApiCalls,get_entity_wise_observations,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_entity_wise_observations,
243,243,Dashboard/para_view.cshtml,ApiCalls,getparentrelForDashboardPanel,POST,AJAX,VIEW,MEDIUM, /ApiCalls/getparentrelForDashboardPanel,
243,243,Dashboard/para_view.cshtml,ApiCalls,getpostplaceForDashboardPanel,POST,AJAX,VIEW,MEDIUM, /ApiCalls/getpostplaceForDashboardPanel,
243,243,Dashboard/para_view.cshtml,ApiCalls,get_functional_observations,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_functional_observations,
243,243,Dashboard/para_view.cshtml,ApiCalls,get_all_para_text,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_all_para_text,
125,125,Dashboard/functional_resp_wise_paras.cshtml,ApiCalls,get_functional_responsibility_wise_paras_for_dashboard,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_functional_responsibility_wise_paras_for_dashboard,
125,125,Dashboard/functional_resp_wise_paras.cshtml,ApiCalls,get_functional_observation_text,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_functional_observation_text,
,MULTIPLE_OR_UNKNOWN,Dashboard/dashboard.cshtml,ApiCalls,get_audit_performance_chart_for_dashboard,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_audit_performance_chart_for_dashboard,
,MULTIPLE_OR_UNKNOWN,Dashboard/no_entities_risk_based_planning_b.cshtml,ApiCalls,get_risk_base_plan_for_dashboard,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_risk_base_plan_for_dashboard,
,MULTIPLE_OR_UNKNOWN,Dashboard/violation_wise_paras.cshtml,Setup,process_details,POST,AJAX,VIEW,MEDIUM, /Setup/process_details,
,MULTIPLE_OR_UNKNOWN,Dashboard/violation_wise_paras.cshtml,Setup,process_transactions,POST,AJAX,VIEW,MEDIUM, /Setup/process_transactions,
,MULTIPLE_OR_UNKNOWN,Dashboard/violation_wise_paras.cshtml,ApiCalls,get_violation_wise_paras_for_dashboard,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_violation_wise_paras_for_dashboard,
293,293,Dashboard/serious_fraudulent_obs_gm.cshtml,ApiCalls,get_serious_entities_details,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_serious_entities_details,
54,54,Dashboard/zone_wise_paras.cshtml,ApiCalls,getparentrelForDashboardPanel,POST,AJAX,VIEW,MEDIUM, /ApiCalls/getparentrelForDashboardPanel,
54,54,Dashboard/zone_wise_paras.cshtml,ApiCalls,getpostplaceForDashboardPanel,POST,AJAX,VIEW,MEDIUM, /ApiCalls/getpostplaceForDashboardPanel,
54,54,Dashboard/zone_wise_paras.cshtml,ApiCalls,get_relation_legacy_observation_for_dashboard,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_relation_legacy_observation_for_dashboard,
54,54,Dashboard/zone_wise_paras.cshtml,ApiCalls,get_relation_ais_observation_for_dashboard,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_relation_ais_observation_for_dashboard,
54,54,Dashboard/zone_wise_paras.cshtml,ApiCalls,get_relation_observation_for_dashboard,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_relation_observation_for_dashboard,
,MULTIPLE_OR_UNKNOWN,Dashboard/repetative_para.cshtml,Setup,process_details,POST,AJAX,VIEW,MEDIUM, /Setup/process_details,
,MULTIPLE_OR_UNKNOWN,Dashboard/repetative_para.cshtml,Setup,process_transactions,POST,AJAX,VIEW,MEDIUM, /Setup/process_transactions,
,MULTIPLE_OR_UNKNOWN,Dashboard/repetative_para.cshtml,ApiCalls,get_repetative_paras_for_dashboard,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_repetative_paras_for_dashboard,
,MULTIPLE_OR_UNKNOWN,Dashboard/audit_performance - Copy.cshtml,ApiCalls,get_audit_performance_for_dashboard,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_audit_performance_for_dashboard,
244,244,Dashboard/reporting_wise_obs.cshtml,ApiCalls,get_reporting_wise_observations,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_reporting_wise_observations,
,MULTIPLE_OR_UNKNOWN,Dashboard/audit_performance.cshtml,ApiCalls,get_audit_performance_for_dashboard,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_audit_performance_for_dashboard,
248,248,Dashboard/entity_wise_obs_detail.cshtml,ApiCalls,get_entity_wise_observation_detail,POST,AJAX,VIEW,MEDIUM, /ApiCalls/get_entity_wise_observation_detail,
248,248,Dashboard/entity_wise_obs_detail.cshtml,ApiCalls,get_all_para_text,GET,AJAX,VIEW,MEDIUM, /ApiCalls/get_all_para_text,
,MULTIPLE_OR_UNKNOWN,Engagement/ongoing_engagements_list.cshtml,ApiCalls,reject_engagement_plan,POST,AJAX,VIEW,MEDIUM, /ApiCalls/reject_engagement_plan,
,MULTIPLE_OR_UNKNOWN,Engagement/ongoing_engagements_list.cshtml,ApiCalls,approve_engagement_plan,POST,AJAX,VIEW,MEDIUM, /ApiCalls/approve_engagement_plan,
71,71,Engagement/eng_plan_ref_list.cshtml,Planning,audit_teams,POST,AJAX,VIEW,MEDIUM, /api/planning/audit_teams,
71,71,Engagement/eng_plan_ref_list.cshtml,ApiCalls,rerecommend_engagement_plan,POST,AJAX,VIEW,MEDIUM, /ApiCalls/rerecommend_engagement_plan,
